"Год","Регион","salary","invest"
2003,"Республика Алтай",2876.4,105.2
2003,"Республика Калмыкия",2100.2,234
2003,"Республика Карелия",4937,748.6
2003,"Республика Коми",7476.7,970.3
2003,"Республика Марий Эл",2189,1036.8
2003,"Республика Мордовия",2719.9,1033
2003,"Республика Северн...",2596,673.1
2003,"Карачаево-Черкесс...",2619.2,464
2003,"Республика Татарстан",4273.1,13084.1
2003,"Республика Тыва",2872.9,187.4
2003,"Удмуртская Респуб...",3098.1,1480.7
2003,"Республика Хакасия",3765,590.2
2003,"Чувашская Республика",2749.2,2777.8
2003,"Республика Саха (...",8239.7,2863.2
2003,"Еврейская автоном...",4062.4,74.6
2004,"Алтайский край",3495.7,2369.7
2004,"Амурская область",4695.3,1200.1
2004,"Ненецкий авт.округ",20122.2,603.7
2004,"Астраханская область",4559.4,5460.4
2004,"Белгородская область",4070.2,2813.2
2004,"Брянская область",3720.4,1306.9
2004,"Владимирская область",3381.6,1715.6
2004,"Волгоградская обл...",4648.2,2526.2
2004,"Вологодская область",5246.4,1709.1
2004,"Воронежская область",4143,4716.9
2004,"Нижегородская обл...",4793.7,6045
2004,"Ивановская область",2858.8,879.7
2004,"Иркутская область",5418.6,2602.1
2004,"Усть-Ордынский Бу...",1800.4,27.5
2004,"Республика Ингушетия",1757.5,114.7
2004,"Калининградская о...",4692.5,1285.6
2004,"Тверская область",3955.8,3561.9
2004,"Калужская область",4181.4,1679.3
2004,"Краснодарский край",4378.9,13256.9
2004,"Камчатский край",8343,316.7
2004,"Корякский авт.округ",10010.3,0.2
2004,"Кемеровская область",6161.6,3905.1
2004,"Кировская область",3757.9,1208.8
2004,"Костромская область",3815.5,549.6
2004,"Самарская область",7176.6,5095.6
2004,"Курганская область",3853.9,541.5
2004,"Курская область",4233,1449.2
2004,"Красноярский край",6407.7,3802.8
2004,"г.Санкт-Петербург",9175.7,10280.3
2004,"Таймырский (Долга...",11255.1,1.8
2004,"Ленинградская обл...",4455.1,5876.2
2004,"Эвенкийский авт.о...",8385.3,57.9
2004,"Липецкая область",4430.5,3321.6
2004,"Магаданская область",9485.9,35.5
